flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
211,300,290,292,219,-2.56,9.26,1.9,-0.05,0.03,-0.02,9
211,300,290,292,219,-2.27,9.32,1.88,-0.05,0.02,-0.02,9
210,300,290,292,219,-2.49,9.31,1.94,-0.04,0.09,-0.02,9
210,300,290,292,219,-2.59,9.21,1.76,-0.03,0.09,-0.01,9
210,299,289,291,219,-2.67,9.26,1.57,-0.01,0.08,-0.01,9
211,299,290,292,219,-2.41,9.33,1.26,-0.05,0.03,-0.02,9
211,300,289,292,219,-2.52,9.36,1.55,-0.12,-0.03,-0.04,9
211,300,290,291,219,-2.84,9.13,2.06,-0.16,0.02,0.0,9
210,299,289,291,219,-2.74,9.15,2.23,-0.1,-0.01,0.02,9
211,300,289,292,219,-2.34,9.17,2.17,-0.07,0.01,0.02,9
211,301,290,293,219,-2.12,9.33,1.99,-0.01,0.01,-0.01,9
211,300,290,292,219,-2.44,9.29,1.87,-0.02,0.03,-0.04,9
211,300,289,292,219,-2.76,9.16,1.81,-0.03,0.07,-0.02,9
210,299,289,291,219,-2.59,9.25,1.7,-0.01,0.07,-0.02,9
210,299,290,291,219,-2.31,9.38,1.49,-0.05,0.11,-0.01,9
211,300,290,292,219,-2.21,9.37,1.62,-0.13,0.21,-0.01,9
211,300,290,292,219,-2.78,9.2,1.87,-0.11,0.16,-0.0,9
211,299,290,292,219,-2.36,9.22,1.84,-0.08,-0.05,-0.01,9
210,299,290,291,219,-2.54,9.19,2.01,-0.07,0.01,-0.02,9
210,300,290,292,219,-2.31,9.29,1.98,-0.03,-0.09,-0.05,9
211,301,290,292,219,-2.55,9.24,1.98,-0.01,-0.04,-0.04,9
210,300,290,292,219,-2.7,9.23,1.83,-0.0,0.0,-0.03,9
211,299,289,292,219,-2.56,9.22,1.72,-0.01,0.07,-0.01,9
211,299,290,291,219,-2.3,9.34,1.62,-0.02,0.07,-0.01,9
210,300,290,292,219,-2.52,9.33,1.63,-0.03,0.04,-0.0,9
211,300,289,292,219,-2.42,9.33,1.54,-0.06,-0.03,-0.0,9
210,300,290,292,219,-2.69,9.19,1.75,-0.09,0.06,-0.01,9
210,299,289,291,219,-2.39,9.3,1.83,-0.11,0.0,-0.01,9
210,299,289,292,219,-2.31,9.29,1.94,-0.09,0.03,-0.02,9
211,299,289,292,219,-2.5,9.26,2.03,-0.06,-0.01,-0.02,9
211,300,290,292,219,-2.7,9.17,1.92,-0.03,-0.01,-0.02,9
211,300,290,292,219,-2.49,9.23,1.73,-0.03,0.02,-0.03,9
211,299,289,291,219,-2.49,9.26,1.67,-0.03,0.02,-0.02,9
210,300,290,291,219,-2.35,9.38,1.61,-0.04,-0.02,-0.01,9
211,300,290,292,219,-2.72,9.24,1.73,-0.07,0.03,-0.01,9
211,300,290,293,219,-2.49,9.24,1.76,-0.09,0.02,0.0,9
211,300,290,292,219,-2.29,9.3,1.87,-0.07,0.01,-0.01,9
210,299,290,291,219,-2.17,9.35,1.84,-0.06,-0.04,-0.01,9
210,300,290,292,219,-2.53,9.27,1.9,-0.07,0.04,-0.02,9
210,300,290,292,219,-2.7,9.14,1.89,-0.06,0.03,-0.02,9
211,300,289,292,219,-2.43,9.28,1.84,-0.04,-0.01,-0.03,9
211,299,289,291,219,-2.38,9.28,1.82,-0.05,0.02,-0.02,9
210,299,289,291,219,-2.51,9.28,1.83,-0.04,0.04,-0.02,9
211,299,290,292,219,-2.63,9.25,1.83,-0.05,0.03,-0.01,9
211,301,290,292,219,-2.51,9.25,1.79,-0.04,0.03,-0.02,9
210,299,289,292,219,-2.34,9.32,1.75,-0.05,0.03,-0.01,9
210,299,289,291,219,-2.38,9.31,1.79,-0.07,0.01,-0.03,9
210,299,289,291,219,-2.56,9.24,1.86,-0.07,0.02,-0.02,9
210,299,289,291,219,-2.69,9.17,1.89,-0.06,0.01,-0.03,9
211,300,290,292,219,-2.47,9.21,1.91,-0.05,0.04,-0.02,9
210,300,289,291,219,-2.39,9.33,1.86,-0.03,-0.0,-0.01,9
210,299,289,291,219,-2.41,9.3,1.79,-0.04,0.02,-0.01,9
210,299,290,291,219,-2.59,9.27,1.76,-0.03,0.01,-0.01,9
210,300,289,292,219,-2.57,9.22,1.79,-0.07,0.04,-0.02,9
210,300,290,292,219,-2.25,9.32,1.87,-0.06,0.01,-0.02,9
210,300,289,292,219,-2.44,9.32,1.87,-0.05,0.02,-0.02,9
210,299,289,291,219,-2.62,9.25,1.85,-0.06,0.02,-0.01,9
211,300,289,291,219,-2.66,9.19,1.82,-0.05,0.03,-0.01,9
211,300,290,292,219,-2.26,9.28,1.86,-0.06,-0.0,-0.02,9
