,0
0,29.14512848854065
1,29.078884601593018
2,29.002156496047974
3,29.047642946243286
4,28.966220378875732
5,28.88810920715332
6,28.89674472808838
7,28.88154411315918
8,28.818304300308228
9,28.758901357650757
10,28.720857620239258
11,28.81142568588257
12,28.8602237701416
13,28.52531385421753
14,28.5972101688385
15,28.61226725578308
16,28.464794874191284
17,28.60428476333618
18,28.506303548812866
19,28.507679224014282
20,28.410651445388794
21,28.38722515106201
22,28.38623070716858
23,28.32581067085266
24,28.367480754852295
25,28.22290873527527
26,28.23860764503479
27,28.18481707572937
28,28.213739156723022
29,28.127301454544067
30,28.112371683120728
31,28.106649160385132
32,28.047162294387817
33,27.972944021224976
34,27.992634773254395
35,27.978183031082153
36,27.879796028137207
37,27.918493509292603
38,27.849594593048096
39,27.709155797958374
40,27.810863971710205
41,27.853104829788208
42,27.76791214942932
43,27.658098220825195
44,27.62724471092224
45,27.47756290435791
46,27.67369794845581
47,27.60929536819458
48,27.541679859161377
49,27.28360104560852
50,27.61518144607544
51,27.370476484298706
52,27.334612131118774
53,27.356725931167603
54,27.285013675689697
55,27.301244258880615
56,27.166131258010864
57,27.16691017150879
58,27.061365365982056
59,27.15638494491577
60,27.08306097984314
61,26.920682191848755
62,27.032235860824585
63,26.83291459083557
64,26.911591053009033
65,26.895846366882324
66,26.778615713119507
67,26.684823274612427
68,26.811266660690308
69,26.769665479660034
70,26.49240207672119
71,26.627537727355957
72,26.480279207229614
73,26.461840629577637
74,26.523327112197876
75,26.36069965362549
76,26.252138137817383
77,26.4400155544281
78,26.344406843185425
79,26.186965703964233
80,26.0470552444458
81,26.077395915985107
82,26.074867486953735
83,26.05371356010437
84,25.97488832473755
85,25.992541790008545
86,25.726511478424072
87,25.878178119659424
88,25.665538549423218
89,25.666938066482544
90,25.62722659111023
91,25.58963418006897
92,25.528623342514038
93,25.29366683959961
94,25.48034119606018
95,25.44120478630066
96,25.415759086608887
97,25.119630336761475
98,25.174033641815186
99,25.132124185562134
100,25.141819953918457
101,24.951130867004395
102,24.977545022964478
103,24.985239267349243
104,24.727607488632202
105,24.91924500465393
106,24.660423517227173
107,24.579770803451538
108,24.456600666046143
109,24.628477334976196
110,24.523404598236084
111,24.436288118362427
112,24.414767742156982
113,24.214455366134644
114,24.261757373809814
115,24.063780069351196
116,24.240986585617065
117,24.161629915237427
118,23.76344919204712
119,24.04558825492859
120,23.99414849281311
121,23.725237607955933
122,23.667004585266113
123,23.701064586639404
124,23.403473377227783
125,23.691538095474243
126,23.325615167617798
127,23.44251847267151
128,23.392507076263428
129,23.13265633583069
130,23.451813459396362
131,23.046413898468018
132,22.950858116149902
133,23.284853219985962
134,22.82630705833435
135,22.83497142791748
136,22.69882607460022
137,22.902462244033813
138,22.77169442176819
139,22.649798154830933
140,22.390798807144165
141,22.527519941329956
142,22.495448112487793
143,22.226531982421875
144,22.325722694396973
145,22.079166650772095
146,22.29999589920044
147,22.2392795085907
148,21.839993476867676
149,22.03631281852722
