141	563	537	235	196	267	207	-30.53	-19.89	-62.96	2939.03	-4772.06	10645.65	-2033.02	-4957.15	-951.38
140	563	537	235	196	270	207	-35.09	-19.90	-63.62	2851.27	-4741.85	10133.36	-2260.22	-4905.39	-893.81
140	563	537	235	196	273	208	-42.87	-19.59	-63.94	2767.71	-4642.36	9519.70	-2413.01	-4589.97	-765.02
139	564	537	236	196	276	206	-53.38	-16.68	-64.31	2627.32	-4434.24	8840.91	-2663.56	-3958.18	-559.22
139	565	538	235	196	279	208	-63.59	-11.09	-65.64	2391.96	-4211.33	8129.66	-2938.68	-3035.82	-202.46
139	565	538	235	196	281	207	-48.06	-3.24	-68.08	2074.56	-3990.16	7508.98	-3166.45	-1790.23	342.01
140	566	538	236	196	281	208	-57.32	7.72	-73.19	1590.43	-3825.45	7003.33	-3344.33	-170.61	1083.41
141	566	538	236	196	281	210	-59.56	18.51	-82.29	889.11	-3768.38	6695.97	-3504.91	1476.27	1948.64
142	566	538	236	196	281	214	-60.06	28.21	-94.36	19.26	-3785.96	6518.37	-3603.11	3040.80	2883.76
142	566	539	236	197	280	218	-60.90	36.69	-106.80	-961.31	-3952.66	6375.45	-3642.96	4527.11	3844.52
142	567	540	236	196	279	219	-60.83	45.21	-117.86	-2061.04	-4196.23	6283.48	-3468.51	5939.11	4939.90
140	567	544	237	195	273	220	-59.21	52.86	-129.02	-3469.19	-4359.82	6477.90	-3320.33	7280.50	6197.05
141	568	546	237	196	260	217	-57.37	59.83	-136.51	-4934.13	-4663.03	6669.41	-2947.72	8554.83	7525.55
142	568	546	237	196	252	213	-54.18	66.30	-142.03	-6325.82	-4864.88	6999.94	-2394.23	9765.43	8183.37
142	568	545	237	195	248	211	-50.05	71.90	-145.68	-7647.93	-5115.23	7505.14	-1673.17	10915.51	8626.10
144	567	545	236	195	245	207	-47.14	75.74	-148.07	-8720.54	-5310.67	8148.48	-1361.71	11748.74	8676.15
146	566	544	235	195	243	203	-45.45	77.44	-149.41	-9532.71	-5499.34	8814.66	-1287.48	12182.05	8392.04
147	567	545	234	195	242	206	-42.03	76.11	-151.49	-10250.47	-5415.37	9562.33	-1015.80	11856.60	7941.54
147	567	544	234	195	245	209	-40.90	73.44	-153.80	-10882.55	-5186.80	10147.81	-1398.96	11095.87	7351.71
149	568	545	234	194	247	210	-39.28	70.44	-154.66	-11355.62	-5202.26	10340.22	-1307.41	10096.97	6828.98
