flex1,flex2,flex3,flex4,flex5,accx,accy,accz,gyrx,gyry,gyrz,label
204,292,281,278,211,-3.77,7.69,4.81,-0.05,0.03,-0.02,4
204,291,281,279,211,-3.89,7.67,4.73,-0.03,0.03,-0.01,4
204,291,281,278,211,-3.6,7.78,4.66,-0.04,0.02,-0.01,4
204,292,281,278,211,-3.69,7.77,4.66,-0.06,0.02,-0.01,4
204,292,281,278,211,-3.98,7.65,4.71,-0.07,0.03,-0.01,4
204,292,281,278,211,-3.72,7.67,4.76,-0.08,-0.01,-0.01,4
204,291,281,278,210,-3.64,7.68,4.85,-0.08,0.03,-0.0,4
204,291,281,278,211,-3.71,7.7,4.9,-0.05,0.02,-0.01,4
204,292,281,279,211,-3.75,7.69,4.81,-0.03,0.01,-0.02,4
204,292,281,278,211,-3.59,7.76,4.69,-0.02,0.01,-0.03,4
204,291,281,279,210,-3.68,7.76,4.72,-0.03,0.04,-0.03,4
204,291,281,278,210,-3.93,7.69,4.71,-0.03,0.03,-0.02,4
205,292,281,278,211,-3.78,7.69,4.69,-0.05,0.04,-0.02,4
204,292,281,278,211,-3.67,7.79,4.77,-0.05,0.02,-0.02,4
204,291,281,278,211,-3.8,7.75,4.74,-0.04,0.03,-0.01,4
204,291,281,278,211,-3.91,7.67,4.68,-0.05,0.02,-0.02,4
204,291,281,278,211,-3.56,7.76,4.76,-0.05,0.03,-0.02,4
204,291,281,278,211,-3.83,7.73,4.74,-0.04,0.03,-0.03,4
204,292,281,279,211,-3.88,7.68,4.71,-0.05,0.03,-0.03,4
204,292,281,279,210,-3.8,7.72,4.73,-0.04,0.05,-0.02,4
204,290,281,278,211,-3.61,7.76,4.68,-0.03,0.03,-0.02,4
204,291,281,278,211,-3.93,7.67,4.73,-0.02,0.01,-0.03,4
204,292,281,279,211,-3.84,7.69,4.62,-0.04,0.02,-0.03,4
204,291,280,279,211,-3.73,7.74,4.65,-0.04,0.02,-0.03,4
204,291,281,278,211,-3.75,7.78,4.65,-0.03,0.01,-0.03,4
204,292,281,279,211,-4.02,7.63,4.68,-0.05,0.04,-0.02,4
204,291,281,278,211,-3.65,7.75,4.59,-0.04,0.01,-0.02,4
205,292,281,279,211,-3.76,7.76,4.65,-0.04,0.01,-0.02,4
204,293,281,279,211,-3.84,7.75,4.71,-0.04,-0.0,-0.03,4
204,291,281,278,211,-3.95,7.63,4.69,-0.07,0.02,-0.02,4
204,291,281,278,211,-3.59,7.79,4.73,-0.05,-0.01,-0.02,4
204,291,281,278,210,-3.95,7.71,4.68,-0.07,0.03,-0.0,4
204,292,281,279,211,-3.92,7.67,4.69,-0.07,0.01,0.0,4
205,291,281,278,211,-3.7,7.71,4.67,-0.07,0.02,-0.0,4
204,291,281,278,210,-3.63,7.76,4.76,-0.06,0.0,-0.01,4
204,291,281,278,210,-3.95,7.63,4.74,-0.06,0.03,-0.01,4
204,292,281,278,211,-3.77,7.69,4.7,-0.05,0.0,-0.03,4
204,292,281,278,211,-3.67,7.73,4.71,-0.05,0.03,-0.0,4
204,292,281,278,211,-3.84,7.74,4.69,-0.04,0.02,0.0,4
204,291,281,278,210,-3.89,7.68,4.61,-0.06,0.03,0.01,4
204,292,281,278,211,-3.56,7.79,4.66,-0.06,-0.01,-0.01,4
204,291,281,278,210,-3.82,7.71,4.74,-0.08,0.03,-0.02,4
204,291,281,279,211,-3.92,7.66,4.73,-0.07,-0.0,-0.03,4
204,291,281,279,211,-3.86,7.62,4.75,-0.06,0.02,-0.02,4
204,291,281,279,211,-3.59,7.78,4.77,-0.05,0.01,-0.01,4
204,291,281,277,210,-3.9,7.67,4.75,-0.05,0.02,-0.0,4
204,291,281,279,211,-3.76,7.73,4.72,-0.05,-0.01,-0.02,4
205,291,281,279,211,-3.72,7.72,4.77,-0.09,0.01,-0.04,4
204,292,281,279,211,-3.72,7.7,4.7,-0.11,-0.01,-0.05,4
204,291,281,278,211,-4.03,7.61,4.88,-0.05,-0.02,-0.01,4
205,291,281,278,210,-3.7,7.66,4.88,-0.09,0.06,0.0,4
204,292,281,278,211,-3.69,7.7,4.72,-0.06,-0.03,0.0,4
204,292,281,279,211,-3.81,7.68,4.83,-0.03,-0.02,0.01,4
204,290,281,278,211,-3.83,7.57,4.9,-0.04,0.04,0.01,4
204,291,281,278,211,-3.5,7.74,4.87,-0.0,0.03,0.01,4
205,292,281,279,211,-3.8,7.69,4.86,0.0,0.07,0.01,4
204,292,281,279,211,-3.93,7.61,4.83,0.02,0.08,0.03,4
205,291,281,278,211,-3.63,7.71,4.75,0.03,0.07,0.03,4
